fiscal_year,NHS,district,activity,Route Type,Route,Beg MM,End MM,cost,date,segment_id
2017,True,2,MICRO SURFACING,US,US 285,21.5,27.0,808574.53,2017-06-06,US 285_21.5_27.0
2017,True,5,GUARDRAIL,US,US 84,173.0,173.5,10867.19,2017-06-06,US 84_173.0_173.5
2017,True,5,GUARDRAIL,Interstate,I 40,184.5,184.5,8808.78,2017-06-06,I 40_184.5_184.5
2017,False,6,CRACK SEAL,State,NM 117,23.7,29.0,32447.7,2017-06-09,NM 117_23.7_29.0
2017,True,6,HOT MIX OVERLAY/ INLAY,US,US 60,18.0,24.0,1881921.45,2017-06-09,US 60_18.0_24.0
2017,False,6,COLD MILLING BTMNS SRFCS,State,NM 117,23.7,29.0,189775.0,2017-07-06,NM 117_23.7_29.0
2017,False,6,HOT INSITU SCARIFICATION,State,NM 53,80.0,83.0,278248.85,2017-07-06,NM 53_80.0_83.0
2017,True,2,BRIDGE OTHER,US,US 285,122.8,127.8,103665.12,2017-07-10,US 285_122.8_127.8
2017,True,5,GUARDRAIL,Interstate,I 40,209.0,209.0,15915.09,2017-07-10,I 40_209.0_209.0
2017,True,5,GUARDRAIL,Interstate,I 25,263.4,263.4,12931.09,2017-07-10,I 25_263.4_263.4
2017,True,5,GUARDRAIL,US,US 64,148.7,148.7,17034.41,2017-07-10,US 64_148.7_148.7
2017,True,5,GUARDRAIL,State,NM 14,30.6,30.6,6028.48,2017-07-10,NM 14_30.6_30.6
2017,True,5,HOT MIX OVERLAY/ INLAY,State,NM 516,12.0,13.7,240567.34,2017-07-10,NM 516_12.0_13.7
2017,False,5,HOT INSITU RECYCLING,State,NM 371,85.0,92.5,505034.62,2017-07-10,NM 371_85.0_92.5
2017,True,5,BRIDGE OTHER,US,US 64,144.3,144.3,106135.5,2017-07-10,US 64_144.3_144.3
2017,True,5,BRIDGE DECK,US,US 64,144.0,144.0,27157.5,2017-07-10,US 64_144.0_144.0
2017,True,5,BRIDGE OTHER,Interstate,I 25,292.75,292.75,19416.95,2017-07-10,I 25_292.75_292.75
2017,True,5,BRIDGE OTHER,US,US 84,177.0,177.0,8281.59,2017-07-10,US 84_177.0_177.0
2017,True,5,BRIDGE OTHER,Interstate,I 25,269.7,269.7,16737.87,2017-07-10,I 25_269.7_269.7
2017,False,5,BRIDGE OTHER,State,NM 68,22.94,22.94,45098.64,2017-07-10,NM 68_22.94_22.94
2018,True,2,BRIDGE OTHER,US,US 54,81.2,81.2,298723.35,2017-10-06,US 54_81.2_81.2
2018,False,2,HOT MIX OVERLAY/ INLAY,State,NM 409,6.7,10.9,217911.66,2017-10-06,NM 409_6.7_10.9
2018,True,2,BRIDGE DECK,US,US 70,260.1,262.0,1.43,2017-10-06,US 70_260.1_262.0
2018,False,2,HOT MIX OVERLAY/ INLAY,State,NM 31,5.0,8.0,790515.0,2017-10-06,NM 31_5.0_8.0
2018,True,2,HOT MIX OVERLAY/ INLAY,US,US 70,302.0,310.8,147453.36,2017-10-06,US 70_302.0_310.8
2018,True,2,BRIDGE DECK,US,US 70,260.1,262.0,35929.08,2017-10-06,US 70_260.1_262.0
2018,False,6,COLD MILLING BTMNS SRFCS,State,NM 36,15.6,21.3,35642.29,2017-10-06,NM 36_15.6_21.3
2018,True,5,GUARDRAIL,State,NM 516,13.3,13.3,24659.88,2017-10-11,NM 516_13.3_13.3
2018,True,5,GUARDRAIL,State,NM 599,13.5,13.5,21056.0,2017-10-11,NM 599_13.5_13.5
2018,False,5,BRIDGE DECK,State,NM 111,2.12,2.12,71431.6,2017-10-11,NM 111_2.12_2.12
2018,True,5,HOT MIX OVERLAY/ INLAY,US,US 84,162.8,163.4,694.25,2017-10-11,US 84_162.8_163.4
2018,True,5,HOT MIX OVERLAY/ INLAY,US,US 84,162.8,163.4,437463.45,2017-10-11,US 84_162.8_163.4
2018,True,3,HOT MIX OVERLAY/ INLAY,US,US 550,5.9,7.3,388362.76,2017-10-11,US 550_5.9_7.3
2018,True,3,HOT MIX OVERLAY/ INLAY,Interstate,I 40,170.0,180.0,331990.11,2017-10-11,I 40_170.0_180.0
2018,True,3,BRIDGE OTHER,State,NM 14,31.78,31.78,142129.01,2017-10-11,NM 14_31.78_31.78
2018,False,3,HOT INSITU SCARIFICATION,State,NM 314,0.0,5.0,516816.8,2017-10-11,NM 314_0.0_5.0
2018,False,5,BRIDGE OTHER,State,NM 95,0.45,0.45,120309.11,2017-11-03,NM 95_0.45_0.45
2018,True,1,BRIDGE OTHER,Interstate,I 10,102.16,102.16,71572.01,2017-11-03,I 10_102.16_102.16
2018,False,1,MICRO SURFACING,State,NM 11,26.0,34.1,1195970.9,2017-11-03,NM 11_26.0_34.1
2018,True,6,HOT MIX OVERLAY/ INLAY,US,US 491,7.9,11.2,3331230.67,2017-11-07,US 491_7.9_11.2
2018,True,6,CRACK SEAL,State,NM 609,1.3,2.4,88484.81,2017-11-07,NM 609_1.3_2.4
2018,True,6,HOT INSITU RECYCLING,US,US 60,24.0,35.2,744121.34,2017-11-07,US 60_24.0_35.2
2018,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,299.0,304.5,937648.57,2017-12-05,I 25_299.0_304.5
2018,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,304.5,309.0,877506.97,2017-12-05,I 25_304.5_309.0
2018,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,437.7,442.1,8.03,2017-12-05,I 25_437.7_442.1
2018,True,4,PLANT MIX WEARING COURSE OVERLAY,Interstate,I 25,437.7,442.1,23620.9,2017-12-05,I 25_437.7_442.1
2018,True,1,BRIDGE OTHER,Interstate,I 10,102.16,102.16,68641.06,2017-12-05,I 10_102.16_102.16
2018,False,1,MICRO SURFACING,State,NM 11,26.0,34.1,288757.17,2017-12-05,NM 11_26.0_34.1
2018,False,1,MICRO SURFACING,State,NM 11,26.0,34.1,6801.53,2017-12-05,NM 11_26.0_34.1
2018,False,1,BRIDGE OTHER,State,NM 187,0.66,0.66,4028.05,2017-12-05,NM 187_0.66_0.66
2018,False,1,BRIDGE OTHER,State,NM 1,57.46,57.46,322447.17,2017-12-05,NM 1_57.46_57.46
2018,False,5,BRIDGE OTHER,State,NM 578,1.39,1.39,25168.86,2017-12-06,NM 578_1.39_1.39
2018,False,5,BRIDGE OTHER,State,NM 74,0.7,0.7,4184.59,2017-12-06,NM 74_0.7_0.7
2018,True,5,GUARDRAIL,Interstate,I 40,207.5,207.5,14843.59,2017-12-06,I 40_207.5_207.5
2018,True,5,GUARDRAIL,Interstate,I 40,184.5,190.0,6966.12,2017-12-06,I 40_184.5_190.0
2018,False,5,PLANT MIX WEARING COURSE OVERLAY,State,NM 50,0.0,3.45,484462.46,2017-12-06,NM 50_0.0_3.45
2018,True,5,PLANT MIX WEARING COURSE OVERLAY,US,US 285,241.0,239.0,376764.6,2017-12-06,US 285_241.0_239.0
2018,True,5,CRACK SEAL,US,US 84,191.5,196.5,154325.94,2017-12-06,US 84_191.5_196.5
2018,False,5,BRIDGE OTHER,State,NM 578,1.39,1.39,78953.27,2017-12-06,NM 578_1.39_1.39
2018,False,5,BRIDGE OTHER,State,NM 74,0.7,0.7,99441.6,2017-12-06,NM 74_0.7_0.7
2018,True,6,CRACK SEAL,State,NM 122,29.0,33.9,255113.33,2017-12-06,NM 122_29.0_33.9
2018,False,6,CRACK SEAL,State,NM 264,0.0,3.3,80119.97,2018-01-10,NM 264_0.0_3.3
2018,False,2,GUARDRAIL,US,US 82,53.0,53.0,8530.97,2018-01-08,US 82_53.0_53.0
2018,True,5,BRIDGE OTHER,US,US 64,242.7,242.7,13545.95,2018-01-08,US 64_242.7_242.7
2018,True,5,GUARDRAIL,US,US 64,28.1,28.1,12286.66,2018-01-08,US 64_28.1_28.1
2018,True,5,HOT INSITU RECYCLING,US,US 64,133.8,123.8,752044.33,2018-01-08,US 64_133.8_123.8
