order_id,date_declared,year,state_federal_code,origin_office,incident_description,declaration_type,county
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,San Miguel
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Santa Fe
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Los Alamos
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Taos
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Sandoval
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Bernalillo
2006-070,2006-12-30,2006,S,Richardson,"Disaster in the Counties of Colfax, Union, Mora, Harding, Quay, Guadalue, San Miguel, Santa Fe, Los Alamos, Taos, Sandoval, Bernalillo and Torrance due to the effects of a severe winter storm.",Winter Storm,Torrance
FM-2600,2006-01-02,2006,F,FEMA,New Mexico Southeast New Mexico Fire,Fire Management Assistance,Eddy
FM-2600,2006-01-02,2006,F,FEMA,New Mexico Southeast New Mexico Fire,Fire Management Assistance,Lea
FM-2631,2006-03-01,2006,F,FEMA,New Mexico Casa Fire,Fire Management Assistance,Colfax
